,Cas,Drug,SMILES
151,97161-97-2,"Methyl 16-hydroxy-15-methyl-3-oxo-28-oxa-4,14,19-triazaoctacyclo[12.11.2.115,18.02,6.07,27.08,13.019,26.020,25]octacosa-1,6,8,10,12,20,22,24,26-nonaene-16-carboxylate",CC12C(CC(O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)(C(=O)OC)O
152,41179-33-3,MK2a Inhibitor,C1=CC=C(C(=C1)C2=CC=C(C=C2)CCCC(=O)NC3=CC=C(C=C3)O)F
153,133550-30-8,AG-490,C1=CC=C(C=C1)CNC(=O)/C(=C/C2=CC(=C(C=C2)O)O)/C#N
154,183319-69-9,Erlotinib Hydrochloride,COCCOC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=CC(=C3)C#C)OCCOC.Cl
155,866405-64-3,Dorsomorphin,C1CCN(CC1)CCOC2=CC=C(C=C2)C3=CN4C(=C(C=N4)C5=CC=NC=C5)N=C3
156,658084-23-2,SU11274,CC1=C(NC(=C1C(=O)N2CCN(CC2)C)C)/C=C\3/C4=C(C=CC(=C4)S(=O)(=O)N(C)C5=CC(=CC=C5)Cl)NC3=O
157,545380-34-5,Evp4593,C1=CC=C(C=C1)OC2=CC=C(C=C2)CCNC3=NC=NC4=C3C=C(C=C4)N
158,302962-49-8,Dasatinib,CC1=C(C(=CC=C1)Cl)NC(=O)C2=CN=C(S2)NC3=CC(=NC(=N3)C)N4CCN(CC4)CCO
159,648450-29-7,AS-605240,C1=CC2=NC=CN=C2C=C1/C=C/3\C(=O)NC(=O)S3
160,608512-97-6,Imidazolo-oxindole PKR inhibitor C16,C1=CC2=C(C\3=C1NC(=O)/C3=C\C4=CN=CN4)SC=N2
161,330161-87-0,"2,3-dihydro-N,N-dimethyl-2-oxo-3-((4,5,6,7-tetrahydro-1H-indol-2-yl)methylene)-1H-Indole-5-sulfonamide",CN(C)S(=O)(=O)C1=CC2=C(C=C1)NC(=O)C2=CC3=CC4=C(N3)CCCC4
162,70563-58-5,Herbimycin A,C[C@H]1C[C@@H]([C@@H]([C@H](/C=C(/[C@@H]([C@H](/C=C\C=C(\C(=O)NC2=CC(=O)C=C([C@@H]1OC)C2=O)/C)OC)OC(=O)N)\C)C)OC)OC
163,152121-53-4,PD-169316,C1=CC(=CC=C1C2=NC(=C(N2)C3=CC=NC=C3)C4=CC=C(C=C4)F)[N+](=O)[O-]
164,19545-26-7,Wortmannin,CC(=O)O[C@@H]1C[C@]2([C@@H](CCC2=O)C3=C1[C@]4([C@H](OC(=O)C5=COC(=C54)C3=O)COC)C)C
165,443913-73-3,Vandetanib,CN1CCC(CC1)COC2=C(C=C3C(=C2)N=CN=C3NC4=C(C=C(C=C4)Br)F)OC
166,865362-74-9,FR-180204,C1=CC=C(C=C1)C2=NN3C=CC=CC3=C2C4=CC5=C(NN=C5N=N4)N
167,179248-59-0,Src Kinase Inhibitor I,COC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=C(C=C3)OC4=CC=CC=C4)OC
168,612847-09-3,Akt inhibitor VIII,C1CN(CCC1N2C3=CC=CC=C3NC2=O)CC4=CC=C(C=C4)C5=C(N=C6C=C7C(=NC=N7)C=C6N5)C8=CC=CC=C8
169,62996-74-1,Staurosporine,C[C@@]12[C@@H]([C@@H](C[C@@H](O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)NC)OC
170,216163-53-0,PD 174265,CCC(=O)NC1=CC2=C(C=C1)N=CN=C2NC3=CC(=CC=C3)Br
171,146535-11-7,"6,7-Dimethoxy-3-phenylquinoxaline",COC1=C(C=C2C(=C1)N=CC(=N2)C3=CC=CC=C3)OC
172,154447-35-5,NU-7026,C1COCCN1C2=CC(=O)C3=C(O2)C4=CC=CC=C4C=C3
173,444723-13-1,NU6140,CCN(CC)C(=O)C1=CC=C(C=C1)NC2=NC3=C(C(=N2)OCC4CCCCC4)NC=N3
174,114719-57-2,Fascaplysin,C1=CC=C2C(=C1)C3=C(N2)C4=[N+](C=C3)C5=CC=CC=C5C4=O
175,220127-57-1,Imatinib Mesylate,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5.CS(=O)(=O)O
176,227449-73-2,2-[(2-Aminoethyl)amino]-4-[[3-(trifluoromethyl)phenyl]amino]-5-pyrimidinecarboxamideHydrochloride,C1=CC(=CC(=C1)NC2=NC(=NC=C2C(=O)N)NCCN)C(F)(F)F.Cl.Cl
177,227449-73-2,2-[(2-Aminoethyl)amino]-4-[[3-(trifluoromethyl)phenyl]amino]-5-pyrimidinecarboxamideHydrochloride,C1=CC(=CC(=C1)NC2=NC(=NC=C2C(=O)N)NCCN)C(F)(F)F.O.O.Cl.Cl
178,227449-73-2,2-[(2-Aminoethyl)amino]-4-[[3-(trifluoromethyl)phenyl]amino]-5-pyrimidinecarboxamideHydrochloride,C1=CC(=CC(=C1)NC2=NC(=NC=C2C(=O)N)NCCN)C(F)(F)F.Cl
179,227449-73-2,2-[(2-Aminoethyl)amino]-4-[[3-(trifluoromethyl)phenyl]amino]-5-pyrimidinecarboxamideHydrochloride,C1=CC(=CC(=C1)NC2=NC(=NC=C2C(=O)N)NCCN)C(F)(F)F.Cl.Cl
180,227449-73-2,2-[(2-Aminoethyl)amino]-4-[[3-(trifluoromethyl)phenyl]amino]-5-pyrimidinecarboxamideHydrochloride,C1=CC(=CC(=C1)NC2=NC(=NC=C2C(=O)N)NCCN)C(F)(F)F.O.O.Cl.Cl
181,227449-73-2,2-[(2-Aminoethyl)amino]-4-[[3-(trifluoromethyl)phenyl]amino]-5-pyrimidinecarboxamideHydrochloride,C1=CC(=CC(=C1)NC2=NC(=NC=C2C(=O)N)NCCN)C(F)(F)F.Cl
182,227449-73-2,2-[(2-Aminoethyl)amino]-4-[[3-(trifluoromethyl)phenyl]amino]-5-pyrimidinecarboxamideHydrochloride,C1=CC(=CC(=C1)NC2=NC(=NC=C2C(=O)N)NCCN)C(F)(F)F.Cl.Cl
