,compound,gene,db,ctd,SMILES,n_db
4385,5-methylfurtrethonium,CHRM2,False,True,CC1=CC=C(O1)C[N+](C)(C)C,1
4386,5-methylfurtrethonium,CHRM3,False,True,CC1=CC=C(O1)C[N+](C)(C)C,1
4387,5-methylfurtrethonium,CHRM4,False,True,CC1=CC=C(O1)C[N+](C)(C)C,1
4388,5-methylindole,NR1I2,False,True,CC1=CC2=C(C=C1)NC=C2,1
4389,5-methylpyrrole,E,True,False,CC1=CNC=C1,1
4390,5-methyltetrahydrofolate,MTR,False,True,"CN1C(CNC2=C1C(=O)NC(=N2)N)CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)O)C(=O)O
CN1[C@H](CNC2=C1C(=O)NC(=N2)N)CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)O)C(=O)O
CN1C(CNC2=C1C(=O)NC(=N2)N)CNC3=CC=C(C=C3)C(=O)N[C@H](CCC(=O)O)C(=O)O",1
4391,5-methyltetrahydrofolicAcid,AMT,True,False,CN1C(CNC2=CC=C(C=C2)C(=O)N[C@@H](CCC(O)=O)C(O)=O)CNC2=C1C(=O)N=C(N)N2,1
4392,5-methylurapidil,ADRA1A,False,True,CC1=C(N(C(=O)N(C1=O)C)C)NCCCN2CCN(CC2)C3=CC=CC=C3OC,1
4393,5-methylurapidil,ADRA1D,False,True,CC1=C(N(C(=O)N(C1=O)C)C)NCCCN2CCN(CC2)C3=CC=CC=C3OC,1
4394,5-methylurapidil,HTR1A,False,True,CC1=C(N(C(=O)N(C1=O)C)C)NCCCN2CCN(CC2)C3=CC=CC=C3OC,1
4395,5-monophosphate-9-beta-d-ribofuranosylXanthine,ATIC,True,False,O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP(O)(O)=O)[N+]1=CNC2=C1NC(=O)NC2=O,1
4396,5-monophosphate-9-beta-d-ribofuranosylXanthine,HPRT1,True,False,O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP(O)(O)=O)[N+]1=CNC2=C1NC(=O)NC2=O,1
4397,5-n-allyl-arginine,NOS1,True,False,N[C@@H](CCC\[NH+]=C(/N)NCC=C)C(O)=O,1
4398,5-nitro-2-(3-phenylpropylamino)benzoicAcid,CFTR,False,True,C1=CC=C(C=C1)CCCNC2=C(C=C(C=C2)[N+](=O)[O-])C(=O)O,1
4399,5-nitro-2-(3-phenylpropylamino)benzoicAcid,GPR35,False,True,C1=CC=C(C=C1)CCCNC2=C(C=C(C=C2)[N+](=O)[O-])C(=O)O,1
4400,"5-nitro-6-ribityl-amino-2,4(1h,3h)-pyrimidinedione",RIBH,True,False,[H]N(C[C@H](O)[C@H](O)[C@H](O)CO)C1=C(C(=O)N([H])C(=O)N1[H])[N+]([O-])=O,1
4401,"5-nitro-6-ribityl-amino-2,4(1h,3h)-pyrimidinedione",RIBH2,True,False,[H]N(C[C@H](O)[C@H](O)[C@H](O)CO)C1=C(C(=O)N([H])C(=O)N1[H])[N+]([O-])=O,1
4402,5-nitroacenaphthene,AHR,False,True,C1CC2=CC=C(C3=CC=CC1=C23)[N+](=O)[O-],1
4403,5-nitroindazole,NOS2,True,False,[O-][N+](=O)C1=CC=C2NN=CC2=C1,1
4404,5-nitroindazole,NOS3,True,False,[O-][N+](=O)C1=CC=C2NN=CC2=C1,1
4405,"5-nitroso-6-ribityl-amino-2,4(1h,3h)-pyrimidinedione",RIBH,True,False,[H]N(C[C@H](O)[C@H](O)[C@H](O)CO)C1=C(N=O)C(=O)N([H])C(=O)N1[H],1
4406,5-o-phosphono-alpha-d-ribofuranosylDiphosphate,APRT,True,False,O[C@H]1[C@@H](O)[C@@H](OP(O)(=O)OP(O)(O)=O)O[C@@H]1COP(O)(O)=O,1
4407,5-o-phosphono-alpha-d-ribofuranosylDiphosphate,HPRT1,True,False,O[C@H]1[C@@H](O)[C@@H](OP(O)(=O)OP(O)(O)=O)O[C@@H]1COP(O)(O)=O,1
4408,5-o-phosphono-alpha-d-ribofuranosylDiphosphate,PYRE,True,False,O[C@H]1[C@@H](O)[C@@H](OP(O)(=O)OP(O)(O)=O)O[C@@H]1COP(O)(O)=O,1
4409,5-o-phosphono-alpha-d-ribofuranosylDiphosphate,TRPD,True,False,O[C@H]1[C@@H](O)[C@@H](OP(O)(=O)OP(O)(O)=O)O[C@@H]1COP(O)(O)=O,1
4410,5-o-phosphono-alpha-d-ribofuranosylDiphosphate,UCKL1,True,False,O[C@H]1[C@@H](O)[C@@H](OP(O)(=O)OP(O)(O)=O)O[C@@H]1COP(O)(O)=O,1
4411,5-octylphenol,ESR1,False,True,CCCCCCCCC1=CC(=CC=C1)O,1
4412,5-octylphenol,ESR2,False,True,CCCCCCCCC1=CC(=CC=C1)O,1
4413,5-oxo-l-norleucine,PURF,True,False,[H][C@](N)(CCC(C)=O)C(O)=O,1
4414,5-oxoprolinal,,True,False,O=C[C@@H]1CCC(=O)N1,1
4415,5-p-methylphenyl-5-phenylhydantoin,NR1I2,False,True,CC1=CC=C(C=C1)C2(C(=O)NC(=O)N2)C3=CC=CC=C3,1
4416,5-pentyl-2-phenoxyphenol,INHA,True,False,CCCCCC1=CC(O)=C(OC2=CC=CC=C2)C=C1,1
4417,5-phenyl-1h-indazol-3-amine,JAK2,True,False,NC1=NNC2=CC=C(C=C12)C1=CC=CC=C1,1
4418,5-phenyl-2-keto-valericAcid,IPDC,True,False,OC(=O)C(=O)CCCC1=CC=CC=C1,1
4419,5-phenylpentanoicAcid,TYRB,True,False,OC(=O)CCCCC1=CC=CC=C1,1
4420,"5-phenylsulfanyl-2,4-quinazolinediamine",DFR1,True,False,NC1=NC2=C(C(N)=N1)C(SC1=CC=CC=C1)=CC=C2,1
